datetime,open,high,low,close,volume,oi
2003-10-08 00:00:00+05:30,89.51,89.51,86.37,87.64,23918400,0
2003-10-09 00:00:00+05:30,88.36,89.13,87.03,87.62,28249496,0
2003-10-10 00:00:00+05:30,88.2,90.86,88.2,90.65,39813049,0
2003-10-13 00:00:00+05:30,90.64,93.17,89.61,92.6,28890218,0
2003-10-14 00:00:00+05:30,93.36,93.92,89.54,90.14,31538005,0
2003-10-15 00:00:00+05:30,90.31,92.96,89.77,92.14,33232005,0
2003-10-16 00:00:00+05:30,95.85,95.85,92.52,94.05,85643153,0
2003-10-17 00:00:00+05:30,93.75,95.67,93.49,94.24,34932670,0
2003-10-20 00:00:00+05:30,94.9,95.29,92.4,92.75,23271527,0
2003-10-21 00:00:00+05:30,93.36,93.36,89.42,90.13,35807579,0
2003-10-22 00:00:00+05:30,88.6,91.32,88.6,90.26,28668332,0
2003-10-23 00:00:00+05:30,90.44,90.48,87.8,88.32,30542961,0
2003-10-24 00:00:00+05:30,71.23,91.25,71.23,90.6,32697351,0
2003-10-25 00:00:00+05:30,92.29,92.4,91.25,91.51,7588343,0
2003-10-27 00:00:00+05:30,91.44,91.63,88.0,88.36,25882868,0
2003-10-28 00:00:00+05:30,88.55,90.48,88.17,89.38,38581491,0
2003-10-29 00:00:00+05:30,89.95,91.43,89.03,90.94,20975164,0
2003-10-30 00:00:00+05:30,90.58,92.4,90.21,91.83,24421361,0
2003-10-31 00:00:00+05:30,92.4,93.89,92.03,93.64,24513029,0
2003-11-03 00:00:00+05:30,93.74,96.42,93.74,95.88,45556930,0
2003-11-04 00:00:00+05:30,96.65,97.41,93.78,94.61,40949242,0
2003-11-05 00:00:00+05:30,93.75,95.11,92.5,94.06,33801969,0
2003-11-06 00:00:00+05:30,94.71,96.54,94.15,94.87,49817465,0
2003-11-07 00:00:00+05:30,95.01,95.65,92.34,92.81,27090421,0
2003-11-10 00:00:00+05:30,98.18,98.18,90.69,92.97,20486384,0
2003-11-11 00:00:00+05:30,92.43,93.36,91.55,92.53,23744816,0
2003-11-12 00:00:00+05:30,94.33,94.6,92.8,93.18,29451974,0
2003-11-13 00:00:00+05:30,96.23,96.23,91.64,91.99,23829751,0
2003-11-14 00:00:00+05:30,90.72,91.44,88.97,89.49,30393039,0
2003-11-15 00:00:00+05:30,89.13,90.76,89.13,90.15,6696535,0
2003-11-17 00:00:00+05:30,89.93,91.9,89.51,91.43,27453065,0
2003-11-18 00:00:00+05:30,90.99,91.77,89.51,89.7,19270416,0
2003-11-19 00:00:00+05:30,89.35,89.85,88.28,88.86,27548603,0
2003-11-20 00:00:00+05:30,88.95,89.69,86.43,86.78,23448712,0
2003-11-21 00:00:00+05:30,85.89,88.92,85.89,88.44,31347881,0
2003-11-24 00:00:00+05:30,88.91,89.13,87.41,87.76,16309590,0
2003-11-25 00:00:00+05:30,87.78,90.26,87.78,89.91,25692260,0
2003-11-27 00:00:00+05:30,89.93,92.46,89.93,91.67,37645745,0
2003-11-28 00:00:00+05:30,91.82,94.31,91.82,93.76,28152613,0
2003-12-01 00:00:00+05:30,94.34,95.25,93.96,94.76,21421725,0
2003-12-02 00:00:00+05:30,94.93,97.21,93.52,96.17,32607818,0
2003-12-03 00:00:00+05:30,97.21,97.21,94.87,95.85,43741605,0
2003-12-04 00:00:00+05:30,94.41,98.46,94.41,97.92,66800239,0
2003-12-05 00:00:00+05:30,98.18,98.56,94.56,94.91,30616255,0
2003-12-08 00:00:00+05:30,94.16,95.14,91.89,92.38,42175823,0
2003-12-09 00:00:00+05:30,92.66,94.01,92.66,93.67,29416390,0
2003-12-10 00:00:00+05:30,93.84,96.72,93.57,95.79,53400088,0
2003-12-11 00:00:00+05:30,96.46,97.02,94.17,94.92,38606255,0
2003-12-12 00:00:00+05:30,95.49,95.49,93.85,94.58,25797792,0
2003-12-15 00:00:00+05:30,94.71,96.69,94.71,96.06,30972732,0
2003-12-16 00:00:00+05:30,96.02,97.68,94.84,97.17,47042535,0
2003-12-17 00:00:00+05:30,97.41,97.67,96.27,96.78,32341242,0
2003-12-18 00:00:00+05:30,96.21,98.43,96.21,97.59,35532436,0
2003-12-19 00:00:00+05:30,97.79,100.67,97.79,100.23,55440255,0
2003-12-22 00:00:00+05:30,100.32,102.03,100.32,101.55,22312187,0
2003-12-23 00:00:00+05:30,83.74,101.99,83.74,100.56,23911190,0
2003-12-24 00:00:00+05:30,100.13,102.22,100.13,101.62,22570571,0
2003-12-26 00:00:00+05:30,102.25,102.54,101.5,102.06,17866208,0
2003-12-29 00:00:00+05:30,102.6,103.75,102.45,103.42,17209855,0
2003-12-30 00:00:00+05:30,103.37,111.65,103.04,108.32,63985148,0
2003-12-31 00:00:00+05:30,108.19,112.19,108.19,110.27,59591730,0
2004-01-01 00:00:00+05:30,111.65,111.65,109.18,109.85,21149361,0
2004-01-02 00:00:00+05:30,110.59,113.36,109.85,112.65,42159771,0
2004-01-05 00:00:00+05:30,112.61,113.56,110.11,111.66,31692545,0
2004-01-06 00:00:00+05:30,111.84,113.29,108.58,110.19,30105657,0
2004-01-07 00:00:00+05:30,109.76,112.13,109.15,111.68,30882473,0
2004-01-08 00:00:00+05:30,112.61,115.1,112.26,113.59,27738010,0
2004-01-09 00:00:00+05:30,115.5,116.59,110.72,111.39,45513065,0
2004-01-12 00:00:00+05:30,111.27,112.4,109.38,109.97,29032384,0
2004-01-13 00:00:00+05:30,110.35,113.48,110.16,113.07,30506421,0
2004-01-14 00:00:00+05:30,113.58,115.31,113.58,114.92,26545423,0
2004-01-15 00:00:00+05:30,116.17,116.64,110.61,111.28,34930488,0
2004-01-16 00:00:00+05:30,112.61,112.96,110.11,111.86,41857101,0
2004-01-19 00:00:00+05:30,111.87,113.38,109.55,112.56,28947564,0
2004-01-20 00:00:00+05:30,113.38,115.08,109.79,110.58,31433600,0
